condition,MSc,age,female,nonUS,sensScale,MScIfControl,MScIfScared,sample,badRand,MScBadRand,Block,Select
0,23,58,1,0,0.28,23,18,1,0,23,NA,0
0,27,37,0,0,2.37,27,19,1,1,19,NA,1
1,7,64,0,1,0.33,8,7,1,1,7,NA,0
0,27,50,1,0,-1.43,27,25,1,0,27,NA,0
1,21,36,0,0,0.19,26,21,1,1,21,NA,0
0,14,59,0,0,-0.25,14,12,1,0,14,NA,0
0,42,30,1,1,0.32,42,41,1,0,42,NA,0
0,25,40,0,0,0.12,25,23,1,0,25,NA,0
0,22,41,0,0,-0.74,22,22,1,1,22,NA,0
0,20,41,0,1,1.07,20,20,1,0,20,NA,0
0,19,46,0,0,-0.37,19,20,1,1,20,NA,0
1,36,34,0,0,0.66,36,36,1,1,36,NA,0
0,9,58,0,1,-0.36,9,11,1,1,11,NA,0
1,30,31,1,1,-0.56,28,30,1,1,30,NA,0
1,15,41,0,0,0.16,15,15,1,1,15,NA,0
0,27,42,0,0,0.89,27,28,1,0,27,NA,0
1,24,47,1,0,0.18,26,24,1,1,24,NA,0
0,25,45,1,0,0.65,25,20,1,0,25,NA,0
1,23,43,1,0,0.05,26,23,1,0,26,NA,0
0,34,38,1,0,0.31,34,30,1,0,34,NA,0
1,17,52,0,0,-1.8,16,17,1,1,17,NA,0
1,18,40,1,0,-0.32,21,18,1,0,21,NA,0
1,23,49,0,0,0.3,28,23,1,1,23,NA,0
0,24,56,0,1,0.45,24,20,1,1,20,NA,0
0,28,32,1,1,0.86,28,33,1,1,33,NA,0
0,9,58,0,0,-0.12,9,8,1,0,9,NA,0
0,18,67,0,1,-0.24,18,22,1,1,22,NA,0
0,14,48,0,1,-0.17,14,12,1,1,12,NA,0
1,19,38,0,0,0.59,18,19,1,0,18,NA,0
1,25,48,0,0,1.18,26,25,1,0,26,NA,0
1,20,45,1,0,-1,20,20,1,1,20,NA,0
1,33,52,1,0,1.02,39,33,1,1,33,NA,0
0,31,39,1,1,0.34,31,29,1,0,31,NA,0
1,19,53,1,0,1.19,21,19,1,0,21,NA,0
0,13,47,0,0,0.83,13,9,1,1,9,NA,0
0,25,50,1,0,0.01,25,22,1,1,22,NA,0
0,21,54,1,1,-0.16,21,21,1,0,21,NA,0
1,26,17,1,0,0.91,33,26,1,0,33,NA,0
0,26,34,1,1,0.52,26,24,1,0,26,NA,0
1,25,65,1,0,-1.83,26,25,1,1,25,NA,0
1,11,53,1,1,1.06,16,11,1,0,16,NA,0
1,16,52,1,0,0.48,21,16,1,1,16,NA,0
0,11,72,0,0,-0.43,11,10,1,1,10,NA,0
0,30,55,1,0,0.38,30,23,1,1,23,NA,0
0,23,52,0,0,-0.56,23,21,1,1,21,NA,0
1,38,45,1,0,-0.82,38,38,1,0,38,NA,0
0,32,40,0,0,1.95,32,26,1,0,32,NA,0
0,32,43,0,1,0.8,32,32,1,0,32,NA,0
0,21,61,1,1,0.54,21,24,1,1,24,NA,0
0,33,41,0,0,-0.67,33,33,1,0,33,NA,0
0,23,63,1,0,0.76,23,17,1,1,17,NA,0
0,17,43,0,0,0.97,17,13,1,0,17,NA,0
0,23,28,0,0,1.17,23,17,1,1,17,NA,0
0,35,52,1,0,-0.12,35,35,1,0,35,NA,0
1,18,51,0,1,0.2,16,18,1,1,18,NA,0
0,19,65,1,1,0.05,19,17,1,0,19,NA,1
1,27,36,0,1,-0.95,28,27,1,1,27,NA,0
1,16,44,0,0,1.79,23,16,1,0,23,NA,0
0,22,65,1,0,-0.14,22,25,1,0,22,NA,0
1,22,52,1,0,0.67,24,22,1,0,24,NA,0
0,19,57,1,0,-0.72,19,20,1,1,20,NA,0
1,25,51,0,1,0.07,27,25,1,0,27,NA,0
0,28,46,0,0,0.12,28,22,1,0,28,NA,0
1,24,47,0,0,-0.1,27,24,1,0,27,NA,0
1,19,48,0,0,-0.23,19,19,1,0,19,NA,0
0,27,50,1,1,1.09,27,26,1,0,27,NA,0
1,34,52,1,1,-1.05,31,34,1,1,34,NA,0
0,18,46,0,1,-1.32,18,19,1,1,19,NA,0
0,27,49,0,0,-1.1,27,25,1,1,25,NA,0
1,16,39,0,1,-0.14,18,16,1,0,18,NA,0
1,26,60,1,0,-0.07,26,26,1,0,26,NA,0
0,32,60,1,0,0.75,32,34,1,0,32,NA,0
0,16,46,0,1,-0.67,16,16,1,1,16,NA,0
1,30,40,0,1,-0.2,29,30,1,1,30,NA,1
1,34,37,1,0,0.37,37,34,1,0,37,NA,0
1,34,65,1,0,-2.15,35,34,1,1,34,NA,0
1,35,46,1,0,-0.3,36,35,1,1,35,NA,0
1,24,24,0,0,0.89,27,24,1,0,27,NA,0
0,24,49,1,0,0.35,24,22,1,0,24,NA,0
1,29,51,1,1,-0.79,27,29,1,0,27,NA,0
1,10,45,0,0,0.64,16,10,1,0,16,NA,0
1,26,49,1,1,-0.55,23,26,1,0,23,NA,0
1,17,55,1,0,-1.06,20,17,1,1,17,NA,0
1,46,38,1,1,-0.98,45,46,1,1,46,NA,0
0,25,55,1,0,-0.16,25,25,1,1,25,NA,0
1,8,61,0,0,0.6,12,8,1,1,8,NA,0
1,15,44,0,0,-0.63,16,15,1,0,16,NA,0
1,21,55,1,1,-1.64,18,21,1,1,21,NA,0
1,17,58,0,0,-0.43,20,17,1,1,17,NA,0
1,4,79,0,0,0.43,9,4,1,0,9,NA,0
0,14,57,0,0,-0.54,14,14,1,0,14,NA,0
1,28,42,0,1,0.48,29,28,1,0,29,NA,0
0,6,58,1,0,0.5,6,1,1,0,6,NA,0
0,23,52,1,0,1.09,23,20,1,0,23,NA,0
0,6,73,0,1,1.23,6,6,1,0,6,NA,0
0,17,62,0,0,-0.36,17,21,1,1,21,NA,0
1,28,51,1,1,1.31,31,28,1,0,31,NA,0
0,37,35,1,0,0.12,37,36,1,0,37,NA,0
0,22,46,1,0,-0.42,22,20,1,1,20,NA,0
1,23,42,1,0,1.66,31,23,1,1,23,NA,0
1,26,52,1,0,-0.15,29,26,1,1,26,NA,0
1,16,42,0,1,0.01,17,16,1,0,17,NA,0
0,38,32,1,0,0.62,38,37,1,1,37,NA,0
0,25,73,1,0,-0.49,25,22,1,1,22,NA,0
0,34,31,1,0,1.13,34,29,1,1,29,NA,0
0,44,28,1,0,-0.45,44,46,1,1,46,NA,0
1,23,47,1,0,-0.75,28,23,1,1,23,NA,0
0,2,54,0,1,0.21,2,1,1,0,2,NA,0
1,22,44,1,1,-0.78,23,22,1,0,23,NA,0
0,24,58,1,1,-1.48,24,28,1,1,28,NA,0
0,36,37,0,1,0.32,36,34,1,1,34,NA,0
1,25,41,0,0,0.44,27,25,1,1,25,NA,0
0,18,55,1,0,1.12,18,13,1,1,13,NA,0
1,20,46,1,0,0.06,21,20,1,0,21,NA,0
0,22,54,1,0,-0.31,22,19,1,0,22,NA,0
1,15,60,0,1,0.11,16,15,1,1,15,NA,0
1,21,22,1,0,-1.64,21,21,1,1,21,NA,0
0,24,41,0,1,0.37,24,19,1,1,19,NA,0
0,27,41,1,0,0.23,27,26,1,1,26,NA,0
1,16,44,0,0,-0.38,19,16,1,1,16,NA,0
0,14,56,0,1,-1.37,14,13,1,1,13,NA,0
0,18,51,0,0,0.39,18,20,1,0,18,NA,0
1,17,87,1,0,-0.35,18,17,1,1,17,NA,0
1,20,50,0,0,-0.19,18,20,1,0,18,NA,0
0,10,44,1,1,0.08,10,6,1,0,10,NA,0
1,41,14,0,0,-0.93,44,41,1,1,41,NA,0
1,29,54,0,1,1.23,32,29,1,0,32,NA,0
0,38,22,1,0,-0.67,38,39,1,1,39,NA,0
0,17,53,1,0,-0.09,17,16,1,1,16,NA,0
0,25,57,0,0,-1.76,25,27,1,1,27,NA,0
0,25,53,1,0,-0.51,25,25,1,1,25,NA,0
0,14,59,0,1,0.01,14,14,1,1,14,NA,1
0,39,40,1,0,1.21,39,36,1,1,36,NA,0
1,15,66,0,0,-1.55,14,15,1,1,15,NA,0
1,40,50,1,1,0.19,41,40,1,0,41,NA,0
1,28,43,1,0,0.12,29,28,1,1,28,NA,0
0,25,56,0,0,-0.59,25,21,1,1,21,NA,0
0,17,50,0,0,0.21,17,20,1,1,20,NA,0
0,31,36,0,0,1.63,31,26,1,0,31,NA,0
1,37,38,0,0,-0.09,38,37,1,1,37,NA,0
1,32,61,1,1,-1.47,31,32,1,1,32,NA,0
1,38,30,1,0,0.8,40,38,1,0,40,NA,0
1,33,32,1,0,1.1,37,33,1,0,37,NA,0
1,32,34,1,1,0.28,33,32,1,1,32,NA,0
0,24,40,0,0,1.29,24,17,1,0,24,NA,0
0,13,59,1,0,1.29,13,8,1,0,13,NA,0
0,25,48,0,0,-0.29,25,22,1,1,22,NA,0
1,40,41,1,0,0.62,43,40,1,0,43,NA,0
1,23,32,1,1,-0.4,24,23,1,1,23,NA,0
1,4,51,0,0,-0.68,7,4,1,0,7,NA,0
1,33,49,1,0,-0.34,32,33,1,0,32,NA,0
1,16,41,0,0,0.13,22,16,1,1,16,NA,0
1,19,56,1,1,-0.82,14,19,1,0,14,NA,0
0,44,29,1,0,-0.17,44,41,1,1,41,NA,0
1,20,40,0,0,-0.61,22,20,1,1,20,NA,0
1,31,65,1,0,0.24,33,31,1,1,31,NA,0
0,34,44,1,0,0.68,34,29,1,0,34,NA,0
1,25,26,1,0,1.84,31,25,1,0,31,NA,0
0,22,49,0,0,1.14,22,15,1,0,22,NA,0
0,30,23,0,0,-0.12,30,29,1,1,29,NA,0
0,14,54,0,1,0.28,14,12,1,0,14,NA,0
0,29,67,1,1,-2.37,29,33,1,1,33,NA,0
0,24,49,0,1,-0.35,24,27,1,0,24,NA,0
0,24,50,1,0,-1.49,24,25,1,1,25,NA,0
1,34,52,1,1,-0.45,34,34,1,1,34,NA,0
1,4,59,0,0,0.48,6,4,1,1,4,NA,0
0,32,27,1,1,2.18,32,26,1,1,26,NA,0
1,22,62,0,0,-1.61,21,22,1,1,22,NA,0
0,30,44,0,0,0.11,30,31,1,1,31,NA,0
1,18,53,1,0,-0.13,18,18,1,0,18,NA,0
1,19,46,1,1,0.34,17,19,1,1,19,NA,0
1,30,39,1,0,-0.72,31,30,1,1,30,NA,0
0,0,72,0,1,-2.48,0,6,1,1,6,NA,0
1,24,43,0,0,0.13,23,24,1,0,23,NA,0
0,23,53,0,0,1.46,23,18,1,0,23,NA,0
0,12,69,1,0,2.32,12,3,1,0,12,NA,0
0,14,55,1,1,-0.06,14,16,1,1,16,NA,1
1,17,42,0,0,1.26,20,17,1,0,20,NA,0
1,25,40,1,0,-0.74,23,25,1,1,25,NA,0
1,9,61,0,1,0.21,15,9,1,0,15,NA,0
0,23,45,0,0,0.05,23,20,1,1,20,NA,0
0,19,56,0,0,-1.43,19,19,1,1,19,NA,0
1,23,42,0,0,-0.65,24,23,1,0,24,NA,0
1,19,49,0,0,-0.75,21,19,1,1,19,NA,0
0,6,74,0,0,1.09,6,2,1,1,2,NA,0
0,23,56,0,0,0.03,23,23,1,0,23,1,0
0,14,56,0,1,-0.64,14,16,1,1,16,NA,0
0,21,46,0,1,-0.7,21,22,1,1,22,NA,0
0,23,50,1,0,1.85,23,20,1,0,23,NA,0
0,20,66,1,0,-0.16,20,18,1,0,20,NA,0
1,26,41,1,0,-0.11,27,26,1,0,27,NA,0
0,9,50,0,0,-1.63,9,12,1,1,12,NA,0
0,44,54,1,0,-0.31,44,43,1,1,43,NA,0
0,27,55,1,0,0.88,27,22,1,0,27,NA,0
1,8,55,0,0,1.21,14,8,1,0,14,NA,0
1,30,62,1,0,-1.04,27,30,1,0,27,NA,0
1,14,44,0,0,0.76,18,14,1,0,18,NA,0
0,12,54,0,0,-0.56,12,9,1,0,12,NA,0
0,24,36,1,0,0.69,24,22,1,1,22,NA,0
0,26,30,1,0,-0.05,26,23,1,0,26,NA,0
0,16,48,1,0,1.35,16,12,1,0,16,NA,0
0,35,56,1,0,0.36,35,33,1,0,35,NA,0
0,14,45,0,1,0.28,14,14,1,1,14,NA,0
0,24,40,0,0,0.3,24,21,1,0,24,NA,0
0,11,70,0,0,-0.54,11,9,1,0,11,NA,0
1,25,42,1,0,0.4,28,25,1,0,28,NA,0
0,17,57,0,0,-0.64,17,19,1,0,17,NA,0
1,31,54,1,0,-0.2,32,31,1,0,32,NA,0
0,22,44,0,0,0.66,22,20,1,0,22,NA,0
0,9,69,0,0,0.39,9,6,1,0,9,NA,0
1,39,67,1,0,0.43,41,39,1,0,41,NA,0
1,27,35,1,0,0.49,31,27,1,1,27,NA,0
0,36,64,1,0,-0.05,36,32,1,1,32,NA,0
0,30,52,1,0,-1.5,30,31,1,1,31,NA,0
0,31,54,1,0,0.61,31,27,1,0,31,NA,0
0,10,52,0,0,0.9,10,5,1,0,10,NA,0
1,22,38,0,1,0.81,24,22,1,0,24,NA,0
1,11,66,0,1,-0.74,12,11,1,0,12,NA,0
1,15,46,0,0,-0.59,19,15,1,1,15,NA,0
0,26,55,1,1,0.12,26,24,1,1,24,NA,0
1,25,55,0,1,0.77,23,25,1,0,23,NA,0
0,28,41,1,0,1.72,28,28,1,0,28,NA,0
0,23,58,1,0,0.32,23,18,1,0,23,NA,0
1,23,41,1,0,0.72,26,23,1,0,26,NA,0
0,20,63,0,0,1,20,16,1,0,20,NA,0
1,29,45,1,0,-0.83,30,29,1,1,29,NA,0
0,11,61,0,0,-0.86,11,11,1,1,11,NA,0
0,21,58,0,0,-0.42,21,23,1,1,23,NA,0
0,22,65,1,0,-0.76,22,22,1,1,22,NA,0
1,20,48,0,0,-0.01,27,20,1,0,27,NA,0
1,26,46,0,1,-3.98,21,26,1,1,26,NA,0
0,39,29,0,1,-0.78,39,41,1,0,39,NA,0
0,13,49,0,0,-1.27,13,16,1,1,16,NA,0
0,26,48,1,0,-0.44,26,24,1,1,24,NA,0
1,24,63,0,0,1.09,20,24,1,0,20,NA,0
1,20,63,0,0,0.14,24,20,1,1,20,NA,0
0,30,23,0,1,-1.24,30,29,1,1,29,NA,0
0,30,41,1,0,3.51,30,19,1,0,30,NA,0
0,23,44,1,0,-1.14,23,20,1,1,20,NA,0
0,15,76,0,1,0.26,15,12,1,1,12,NA,0
1,25,51,1,0,0.95,29,25,1,0,29,NA,0
0,1,49,0,0,-0.27,1,1,1,1,1,NA,0
0,6,62,0,0,1.08,6,0,1,1,0,NA,1
0,24,55,1,0,-0.81,24,24,1,1,24,NA,0
1,16,54,0,0,1.51,17,16,1,0,17,NA,0
1,24,65,0,0,-0.6,21,24,1,1,24,NA,0
0,25,46,1,0,0.38,25,22,1,0,25,NA,0
0,19,50,0,0,-0.32,19,22,1,1,22,NA,0
0,15,56,0,0,1.09,15,11,1,0,15,NA,0
0,41,51,1,0,0.58,41,36,1,0,41,NA,0
1,29,31,1,0,-1.55,25,29,1,0,25,NA,0
1,35,38,1,0,-0.96,36,35,1,0,36,NA,0
0,19,44,0,1,-1.24,19,23,1,0,19,NA,0
1,15,50,0,1,-0.46,14,15,1,0,14,NA,0
0,23,68,1,0,0.22,23,25,1,0,23,NA,0
1,27,40,0,1,0.3,28,27,1,1,27,NA,0
1,20,63,0,1,-0.4,18,20,1,1,20,NA,0
1,28,49,0,0,0.25,27,28,1,1,28,NA,0
0,26,57,1,1,-0.04,26,28,1,0,26,NA,0
0,13,39,0,0,-0.25,13,13,1,0,13,NA,0
0,38,49,1,0,-0.84,38,36,1,1,36,NA,0
0,19,62,1,0,0.37,19,19,1,0,19,NA,0
1,24,76,1,1,0.5,29,24,1,0,29,NA,0
0,13,48,0,0,-0.76,13,12,1,0,13,NA,1
0,35,29,1,0,-0.62,35,34,1,0,35,NA,0
0,12,39,0,0,0.34,12,8,1,1,8,NA,1
1,35,29,1,0,0.16,34,35,1,0,34,NA,0
0,33,41,0,1,0.84,33,29,1,0,33,NA,0
0,39,56,1,0,-0.14,39,36,1,0,39,NA,0
1,27,63,1,0,0.26,29,27,1,0,29,NA,0
1,5,70,1,1,0.94,6,5,1,1,5,NA,0
0,25,47,0,0,-0.89,25,26,1,0,25,NA,0
0,22,55,0,1,-0.99,22,24,1,1,24,NA,0
0,33,36,1,1,1.69,33,31,1,0,33,NA,0
0,20,41,1,1,-0.57,20,20,1,1,20,NA,0
0,31,47,0,0,-1.37,31,32,1,1,32,NA,0
0,39,33,0,0,1.24,39,37,1,0,39,NA,0
0,16,63,0,1,-0.33,16,16,1,0,16,NA,0
1,17,69,0,0,0.27,18,17,1,1,17,NA,0
0,26,63,1,1,0.66,26,29,1,1,29,NA,0
0,14,54,1,0,-0.35,14,11,1,1,11,NA,0
1,36,48,1,1,0.11,32,36,1,1,36,NA,0
1,13,56,1,1,0.75,16,13,1,1,13,NA,0
0,17,51,1,0,0.46,17,16,1,0,17,NA,0
1,33,29,1,0,0.27,34,33,1,0,34,NA,0
0,24,44,1,0,0.04,24,26,1,0,24,NA,0
0,25,67,1,1,0.34,25,25,1,0,25,NA,0
1,14,50,0,0,1.71,17,14,1,0,17,NA,0
1,28,35,0,0,-0.59,29,28,1,0,29,NA,0
0,10,42,0,0,1.8,10,1,1,0,10,NA,0
0,17,40,0,0,-0.49,17,16,1,0,17,NA,0
0,15,53,0,0,2.57,15,10,1,0,15,NA,0
1,7,63,0,0,-1.73,6,7,1,1,7,NA,0
0,30,39,1,0,-1.4,30,32,1,1,32,NA,0
0,20,54,0,1,0.27,20,19,1,0,20,NA,0
0,22,66,0,0,1,22,17,1,0,22,NA,0
1,30,42,0,0,-2.24,29,30,1,1,30,NA,0
0,34,42,0,0,0.72,34,29,1,0,34,NA,0
0,37,40,1,0,0.74,37,34,1,0,37,NA,0
0,29,25,0,0,-1.04,29,33,1,0,29,NA,0
1,17,46,0,1,0.38,19,17,1,0,19,NA,0
1,21,25,0,0,-0.44,22,21,1,1,21,NA,0
0,33,37,1,1,-1.48,33,41,1,1,41,NA,0
0,28,51,1,0,0.22,28,24,1,0,28,NA,0
1,15,52,0,0,-1.12,16,15,1,1,15,NA,0
0,20,60,0,0,1.75,20,13,1,0,20,NA,0
1,36,36,0,1,-0.46,34,36,1,1,36,NA,0
0,18,47,0,0,-1.52,18,20,1,0,18,NA,0
1,17,29,1,1,2.72,20,17,1,0,20,NA,0
0,26,64,1,1,0.56,26,28,1,0,26,NA,0
0,30,63,1,0,-0.44,30,27,1,1,27,NA,0
0,10,63,0,1,0.68,10,10,1,0,10,NA,0
0,13,79,0,0,0.61,13,8,1,0,13,NA,0
0,30,48,0,0,0.65,30,30,1,0,30,NA,0
0,31,56,1,1,1.57,31,27,1,0,31,NA,0
0,17,56,0,0,-0.6,17,13,1,1,13,NA,0
1,20,47,1,1,0.42,23,20,1,0,23,NA,0
1,29,55,1,0,0.15,31,29,1,0,31,NA,0
0,20,39,1,0,0.13,20,19,1,0,20,NA,0
1,13,50,0,0,1.58,18,13,1,0,18,NA,0
1,21,57,0,0,-0.1,21,21,1,1,21,NA,0
0,20,52,0,0,-0.99,20,20,1,1,20,NA,0
0,4,58,0,0,-0.02,4,1,1,1,1,NA,0
1,14,55,0,0,1.25,18,14,1,1,14,NA,0
0,32,33,0,1,-1.11,32,34,1,0,32,NA,0
1,25,33,0,0,0.89,33,25,1,0,33,NA,0
0,22,36,1,0,0.1,22,19,1,1,19,NA,0
0,24,44,0,0,-0.46,24,24,1,1,24,NA,0
0,27,40,0,0,-0.2,27,27,1,1,27,NA,0
1,19,53,0,1,-0.98,19,19,1,0,19,NA,0
1,25,58,1,0,-0.88,24,25,1,1,25,NA,0
1,26,54,0,0,-0.64,24,26,1,1,26,NA,0
1,22,48,0,0,-0.14,25,22,1,0,25,NA,0
0,24,59,1,1,0.15,24,25,1,1,25,NA,0
0,21,45,0,0,-1.24,21,22,1,0,21,NA,0
0,27,36,1,0,-0.81,27,25,1,1,25,NA,0
1,18,62,1,0,-0.27,18,18,1,0,18,NA,0
1,21,75,1,1,-1.04,18,21,1,0,18,NA,0
1,14,58,1,0,0.22,19,14,1,1,14,NA,0
1,18,28,1,0,1.44,29,18,1,0,29,NA,0
1,19,39,1,0,-0.33,19,19,1,0,19,NA,0
0,26,49,1,0,1.19,26,20,1,0,26,NA,0
0,14,74,0,1,0.86,14,12,1,0,14,NA,0
1,30,47,1,1,0.34,31,30,1,1,30,NA,0
0,41,52,1,0,0.63,41,36,1,0,41,NA,0
1,13,47,1,0,1.81,17,13,1,0,17,NA,0
0,19,52,0,0,0.54,19,13,1,0,19,NA,0
0,19,68,0,0,1.11,19,20,1,0,19,NA,0
0,17,58,1,0,-2.46,17,23,1,0,17,NA,0
0,5,52,0,1,-2.44,5,12,1,1,12,NA,0
1,45,46,1,1,0.35,44,45,1,0,44,NA,0
0,31,48,1,0,0.16,31,30,1,0,31,NA,0
0,28,44,0,0,2.3,28,21,1,0,28,NA,0
1,38,29,1,1,-0.37,38,38,1,1,38,NA,0
1,19,54,0,0,1.25,24,19,1,0,24,NA,0
0,29,42,1,0,2.06,29,25,1,1,25,NA,0
0,28,59,1,0,-0.78,28,25,1,0,28,NA,0
0,25,56,0,0,0.73,25,22,1,0,25,NA,0
1,32,63,1,0,-0.29,34,32,1,1,32,NA,0
1,27,64,1,0,0.3,33,27,1,0,33,NA,0
1,14,39,0,1,-0.57,13,14,1,1,14,NA,0
1,26,51,1,1,0.42,26,26,1,0,26,NA,0
0,27,44,0,1,-0.88,27,25,1,1,25,2,0
0,35,42,0,1,-1.51,35,39,1,1,39,NA,0
1,17,48,0,0,-0.93,20,17,1,0,20,NA,0
0,7,69,0,0,0.08,7,4,1,1,4,NA,0
1,22,52,1,0,1.77,27,22,1,0,27,NA,0
1,22,40,0,0,1.07,28,22,1,0,28,NA,0
0,18,65,0,1,1.62,18,16,1,0,18,NA,0
1,28,36,0,0,0.38,30,28,1,0,30,NA,0
1,19,43,0,0,-0.93,21,19,1,1,19,NA,0
0,33,38,0,0,0.92,33,26,1,1,26,NA,0
0,29,23,1,1,0.31,29,31,1,1,31,NA,0
0,31,25,0,0,0.42,31,28,1,0,31,NA,0
0,19,59,1,1,-1.28,19,24,1,1,24,NA,0
1,2,47,0,0,0.58,9,2,1,0,9,NA,0
1,26,57,1,0,0,28,26,1,1,26,NA,0
1,15,75,0,0,-0.93,14,15,1,1,15,NA,0
0,20,39,0,1,0.73,20,18,1,1,18,NA,0
0,9,61,0,0,-0.6,9,6,1,1,6,NA,0
1,27,53,1,0,-0.46,29,27,1,0,29,NA,0
1,13,46,1,0,0.22,18,13,1,1,13,NA,0
0,19,58,0,0,0.26,19,16,1,0,19,NA,0
1,23,40,1,1,1.4,24,23,1,0,24,NA,0
0,20,48,1,0,-0.36,20,20,1,0,20,NA,0
0,21,49,0,0,-0.58,21,17,1,1,17,NA,0
0,0,75,0,0,0.83,0,0,1,0,0,NA,0
1,23,55,0,0,0.22,25,23,1,0,25,NA,0
1,27,39,0,1,0.34,27,27,1,0,27,NA,0
1,20,57,1,0,-0.61,21,20,1,1,20,NA,0
0,17,56,1,0,-0.19,17,16,1,0,17,NA,0
0,25,53,1,0,-0.35,25,23,1,1,23,NA,0
0,19,57,0,0,-0.77,19,20,1,1,20,NA,0
1,5,64,0,0,-0.56,6,5,1,0,6,NA,0
0,37,55,1,1,-0.59,37,40,1,1,40,NA,0
1,19,60,0,0,1.3,23,19,1,0,23,NA,0
1,40,41,1,1,-1.19,33,40,1,1,40,NA,0
0,23,39,0,0,-1.65,23,18,1,1,18,NA,0
1,17,59,1,1,-0.18,19,17,1,1,17,NA,0
0,9,44,0,1,1.32,9,8,1,0,9,NA,0
1,17,51,1,0,0.06,21,17,1,1,17,NA,0
1,23,35,1,0,0.3,27,23,1,1,23,NA,0
0,26,62,1,1,0.26,26,21,1,0,26,NA,0
1,19,79,1,0,-0.45,20,19,1,0,20,NA,0
1,37,41,1,0,1.01,37,37,1,0,37,NA,0
0,20,32,0,1,-0.39,20,20,1,0,20,NA,0
1,20,79,1,0,-0.48,22,20,1,0,22,NA,0
1,26,46,1,1,-1.48,24,26,1,0,24,NA,0
1,25,51,0,0,-2.72,22,25,1,1,25,NA,0
1,30,44,1,0,0.87,33,30,1,0,33,NA,0
0,28,50,1,0,0.18,28,25,1,1,25,NA,0
1,26,65,1,0,0.88,32,26,1,0,32,NA,0
0,23,40,1,0,-0.71,23,26,1,0,23,NA,0
0,20,55,1,0,0.33,20,19,1,1,19,NA,0
1,14,41,0,0,0.14,18,14,1,0,18,NA,0
1,8,50,0,1,2.06,13,8,1,0,13,NA,0
0,26,47,1,0,-0.32,26,28,1,1,28,NA,0
0,23,47,0,1,2.48,23,18,1,0,23,NA,0
0,21,43,0,0,0.76,21,17,1,0,21,NA,0
0,18,60,1,1,1.82,18,13,1,0,18,NA,0
1,24,41,0,0,-1.41,26,24,1,0,26,NA,0
0,21,40,1,0,0.36,21,18,1,1,18,NA,0
1,17,57,0,0,0.05,17,17,1,1,17,NA,0
1,10,67,0,0,-0.36,12,10,1,1,10,NA,0
0,4,64,0,0,-1.76,4,5,1,1,5,NA,0
1,28,42,1,0,-1.51,28,28,1,1,28,NA,0
0,27,36,0,0,-1.32,27,30,1,1,30,NA,0
0,29,50,1,0,0.28,29,24,1,1,24,NA,0
0,0,72,0,0,0.25,0,0,1,0,0,NA,0
0,13,68,1,1,2.29,13,5,1,0,13,NA,0
1,16,77,1,0,-0.15,15,16,1,0,15,NA,0
1,23,50,1,1,1.06,22,23,1,0,22,NA,0
1,25,56,1,1,-0.11,22,25,1,1,25,NA,0
1,32,59,0,1,-0.61,32,32,1,0,32,NA,0
1,12,46,0,0,3.08,22,12,1,0,22,NA,0
1,19,44,0,1,0.93,21,19,1,1,19,NA,0
0,17,54,1,1,0.59,17,16,1,1,16,NA,0
1,30,38,1,0,-0.32,35,30,1,0,35,NA,0
0,19,41,0,0,-0.24,19,19,1,1,19,NA,0
0,24,54,1,0,0.76,24,17,1,1,17,NA,0
1,16,54,1,0,0.39,24,16,1,0,24,NA,0
1,11,36,1,0,-1.67,10,11,1,1,11,NA,0
0,28,40,0,0,-0.81,28,29,1,1,29,NA,0
1,19,57,0,1,0.5,22,19,1,1,19,NA,1
0,18,57,1,0,0.24,18,19,1,0,18,NA,0
0,23,70,1,0,2.77,23,17,1,0,23,NA,0
1,34,43,1,0,0.44,36,34,1,0,36,NA,0
1,27,46,1,1,-1.16,20,27,1,1,27,NA,0
0,27,44,1,0,0.37,27,25,1,0,27,NA,0
0,20,35,0,0,-0.21,20,16,1,1,16,3,0
1,33,55,1,0,0.09,30,33,1,0,30,NA,0
1,42,50,0,0,-2.48,40,42,1,1,42,NA,0
0,14,60,1,1,-0.52,14,16,1,1,16,NA,0
1,14,54,1,0,0.93,20,14,1,0,20,NA,0
1,26,44,1,0,0.6,31,26,1,0,31,NA,0
0,25,47,0,0,0.8,25,20,1,0,25,NA,0
1,37,18,0,0,-0.95,37,37,1,1,37,NA,0
1,32,64,1,1,0.94,30,32,1,1,32,NA,0
1,16,53,0,0,-2.46,17,16,1,1,16,NA,0
0,7,64,0,0,0.74,7,3,1,0,7,NA,0
1,43,32,1,1,0.52,39,43,1,1,43,NA,0
1,33,58,1,0,0.07,32,33,1,1,33,NA,0
0,0,74,0,0,0.19,0,0,1,0,0,NA,0
1,14,50,0,1,-0.49,14,14,1,1,14,NA,0
0,25,57,0,0,-0.37,25,20,1,1,20,NA,0
0,20,53,1,0,-0.7,20,18,1,1,18,NA,0
0,28,70,1,0,0.59,28,26,1,0,28,NA,0
0,37,69,1,0,0.26,37,32,1,1,32,NA,0
1,12,58,0,0,-0.54,15,12,1,1,12,NA,0
0,12,58,0,1,-0.15,12,11,1,1,11,NA,0
0,6,51,0,1,0.37,6,2,1,0,6,NA,0
0,13,54,0,1,0.99,13,12,1,0,13,NA,0
1,42,44,1,0,1.08,44,42,1,0,44,NA,0
